Strain,Year,Date Collected,CT value,Count,Species,Country,State,County,Library Preparation Approach,Sequencing Approach,Sequencing Platform,Pathoplexus_Accession,NCBI_Accession,,completeness,,length
UNMC0182,2014,7/25/2014,25.46651338,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00333VX.1,OZ310031.1,,0.9335388521171457,,10296
UNMC0184,2014,7/25/2014,25.40770246,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00333WV.1,OZ310043.1,,0.9302747302565962,,10260
UNMC0185,2014,8/1/2014,25.99290793,50,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_00333XT.1,OZ310191.1,,0.9302747302565962,,10260
UNMC0186,2014,8/8/2014,26.99139167,50,Culex pipiens,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00333YR.1,OZ310078.1,,0.9316347810318252,,10275
UNMC0189,2014,8/8/2014,26.87742877,50,Culex pipiens,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00333ZP.1,OZ310121.1,,0.9302747302565962,,10260
UNMC0191,2014,8/8/2014,21.01006396,17,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_003340M.1,OZ310220.1,,0.9302747302565962,,10260
UNMC0193,2014,8/8/2014,23.80084166,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_003341K.1,OZ309757.1,,0.9302747302565962,,10260
UNMC0194,2014,8/8/2014,23.14167874,22,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,NovaSeq,PP_003342H.1,OZ310003.1,,0.9315441109801432,,10275
UNMC0195,2014,8/8/2014,25.65387573,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003343F.1,OZ310004.1,,0.9321788013419168,,10281
UNMC0196,2014,8/8/2014,26.40610225,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003344D.1,OZ310005.1,,0.9317254510835071,,10276
UNMC0197,2014,8/8/2014,21.56403642,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003345B.1,OZ310006.1,,0.9335388521171457,,10296
UNMC0199,2014,8/8/2014,25.29440362,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033469.1,OZ310215.1,,0.9316347810318252,,10275
UNMC0200,2014,8/15/2014,26.30101076,49,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_0033477.1,OZ310189.1,,0.9302747302565962,,10260
UNMC0201,2014,8/15/2014,27.09750967,50,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_0033485.1,OZ309969.1,,0.9302747302565962,,10260
UNMC0202,2014,8/15/2014,28.20066767,50,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_0033493.1,OZ310018.1,,0.9316347810318252,,10275
UNMC0203,2014,8/15/2014,25.95607683,50,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,NovaSeq,PP_00334A1.1,OZ310122.1,,0.9302747302565962,,10260
UNMC0204,2014,8/22/2014,24.38258028,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00334BZ.1,OZ310214.1,,0.9316347810318252,,10275
UNMC0205,2014,8/22/2014,23.94592796,27,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334CX.1,OZ310072.1,,0.9302747302565962,,10260
UNMC0206,2014,8/22/2014,28.13790103,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334DV.1,OZ310029.1,,0.9302747302565962,,10260
UNMC0207,2014,8/22/2014,22.18327052,25,Culex salinarius,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334ET.1,OZ310049.1,,0.9335388521171457,,10296
UNMC0208,2014,8/22/2014,19.69114259,12,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00334FR.1,OZ310143.1,,0.9301840602049143,,10260
UNMC0209,2014,8/22/2014,26.41896802,40,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00334GP.1,OZ310194.1,,0.9320881312902348,,10280
UNMC0210,2014,9/8/2014,25.22422865,48,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334HL.1,OZ310230.1,,0.9224771058119503,,10174
UNMC0211,2014,9/8/2014,29.24759055,18,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334JJ.1,OZ310185.1,,0.9300933901532323,,10260
UNMC0213,2014,9/8/2014,25.44038094,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334KG.1,OZ310116.1,,0.9195756641581285,,10174
UNMC0215,2014,9/8/2014,26.09677037,14,Culex pipiens,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00334LE.1,OZ310160.1,,0.9302747302565962,,10260
UNMC0216,2014,9/15/2014,26.82263301,25,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_00334MC.1,OZ310218.1,,0.9321788013419168,,10281
UNMC0257,2016,7/8/2016,29.34074329,22,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00334NA.1,OZ310001.1,,0.7759543022939523,,9603
UNMC0259,2016,7/15/2016,27.73942476,42,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00334P8.1,OZ309991.1,,0.9302747302565962,,10260
UNMC0260,2016,7/15/2016,25.38884179,50,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00334Q6.1,OZ309996.1,,0.9307280805150059,,10265
UNMC0261,2016,7/22/2016,25.270429,15,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_00334R4.1,OZ310173.1,,0.9224771058119503,,10174
UNMC0264,2016,7/29/2016,24.18670264,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334S2.1,OZ310131.1,,0.9302747302565962,,10260
UNMC0265,2016,7/29/2016,27.474459,50,Culex pipiens,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00334T0.1,OZ310077.1,,0.9300027201015505,,10260
UNMC0266,2016,8/5/2016,23.4818975,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00334UY.1,OZ310108.1,,0.9302747302565962,,10260
UNMC0267,2016,8/5/2016,25.53425602,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00334VW.1,OZ310171.1,,0.9302747302565962,,10260
UNMC0269,2016,8/19/2016,27.21243804,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00334WU.1,OZ310202.1,,0.9304560703599601,,10262
UNMC0270,2016,8/25/2016,24.92241397,50,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00334XS.1,OZ310201.1,,0.9304560703599601,,10262
UNMC0271,2016,8/25/2016,26.16023118,28,Culex tarsalis,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,NovaSeq,PP_00334YQ.1,OZ310113.1,,0.9301840602049143,,10260
UNMC0272,2016,8/25/2016,24.77867066,50,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00334ZN.1,OZ310217.1,,0.9277359688095023,,10243
UNMC0273,2016,8/25/2016,23.36260484,45,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_003350L.1,OZ310187.1,,0.9316347810318252,,10275
UNMC0275,2016,8/25/2016,26.21263578,50,Culex pipiens,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_003351J.1,OZ310096.1,,0.9316347810318252,,10275
UNMC0276,2016,8/26/2016,28.12873252,47,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_003352G.1,OZ310098.1,,0.9302747302565962,,10260
UNMC0277,2016,8/26/2016,23.13231127,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,NovaSeq,PP_003353E.1,OZ310179.1,,0.9317254510835071,,10276
UNMC0278,2016,8/26/2016,24.41252835,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,NovaSeq,PP_003354C.1,OZ310224.1,,0.9317254510835071,,10276
UNMC0282,2016,9/2/2016,20.77484176,14,Culex tarsalis,United States,Nebrsaka,Cherry,IDT xGen WNV,Illumina,NovaSeq,PP_003355A.1,OZ310090.1,,0.9302747302565962,,10260
UNMC0283,2016,9/9/2016,22.49366521,25,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_0033568.1,OZ310155.1,,0.9302747302565962,,10260
UNMC0284,2016,9/9/2016,26.52913325,50,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_0033576.1,OZ310064.1,,0.9302747302565962,,10260
UNMC0286,2016,9/23/2016,28.29978074,33,Culex tarsalis,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,NovaSeq,PP_0033584.1,OZ310099.1,,0.9302747302565962,,10260
UNMC0287,2017,7/11/2017,26.81314665,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_0033592.1,OZ310182.1,,0.9302747302565962,,10260
UNMC0289,2017,7/11/2017,21.41916718,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335A0.1,OZ310060.1,,0.9302747302565962,,10260
UNMC0290,2017,7/11/2017,21.94946925,22,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335BY.1,OZ310052.1,,0.9301840602049143,,10260
UNMC0291,2017,7/17/2017,27.36245945,50,Culex tarsalis,United States,Nebrsaka,Garden,IDT xGen WNV,Illumina,NovaSeq,PP_00335CW.1,OZ310000.1,,0.9301840602049143,,10260
UNMC0292,2017,7/17/2017,26.99930216,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,NovaSeq,PP_00335DU.1,OZ310040.1,,0.9247438571039985,,10200
UNMC0293,2017,7/24/2017,26.4326186,5,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335ES.1,OZ309959.1,,0.9301840602049143,,10260
UNMC0294,2017,7/24/2017,20.97071786,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335FQ.1,OZ310089.1,,0.9253785474657721,,10206
UNMC0295,2017,7/24/2017,25.24299968,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335GN.1,OZ310023.1,,0.9301840602049143,,10260
UNMC0296,2017,7/24/2017,19.35059094,28,Culex tarsalis,United States,Nebrsaka,Seward,IDT xGen WNV,Illumina,NovaSeq,PP_00335HK.1,OZ310178.1,,0.9301840602049143,,10260
UNMC0298,2017,8/2/2017,24.24887194,30,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,NovaSeq,PP_00335JH.1,OZ310134.1,,0.9237464865354973,,10260
UNMC0299,2017,8/2/2017,20.77348274,26,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00335KF.1,OZ310174.1,,0.9302747302565962,,10260
UNMC0300,2017,8/9/2017,22.30899388,2,Culex restuans,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335LD.1,OZ310065.1,,0.9302747302565962,,10260
UNMC0301,2017,8/9/2017,26.63115667,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335MB.1,OZ310008.1,,0.9301840602049143,,10260
UNMC0302,2017,8/9/2017,23.5157462,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335N9.1,OZ310148.1,,0.9302747302565962,,10260
UNMC0303,2017,8/9/2017,26.19785537,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335P7.1,OZ310159.1,,0.9301840602049143,,10260
UNMC0304,2017,8/9/2017,22.45544089,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335Q5.1,OZ309966.1,,0.9302747302565962,,10260
UNMC0305,2017,8/9/2017,27.22281755,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335R3.1,OZ310232.1,,0.9224771058119503,,10174
UNMC0306,2017,8/9/2017,27.66212701,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335S1.1,OZ310080.1,,0.8988122223229668,,10140
UNMC0307,2017,8/9/2017,26.24228968,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335TZ.1,OZ309756.1,,0.9302747302565962,,10260
UNMC0308,2017,8/9/2017,25.79335482,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335UX.1,OZ310022.1,,0.9301840602049143,,10260
UNMC0310,2017,8/9/2017,26.64641169,50,Culex tarsalis,United States,Nebrsaka,Scottsbluff,IDT xGen WNV,Illumina,NovaSeq,PP_00335VV.1,OZ310038.1,,0.9224771058119503,,10174
